,en-US,en-GB,de,fr,es-ES,es-LA,pt-PT,pt-BR,it,nl,pl,ru,ja,zh-CN,zh-TW,bg,cs,da,et,fi,el,hu,lv,lt,ro,sk,sl,sv,uk,ko,no,tr,ar,he,id,th,vi
en-US,1.0,1.0,1.42,1.21,1.35,1.35,1.26,1.26,1.16,1.14,0.95,1.53,1.3,0.33,0.33,1.4,1.12,1.09,1.05,1.23,1.37,1.19,1.07,1.02,1.16,1.14,1.12,1.16,1.44,1.28,1.12,1.21,1.72,0.65,1.07,1.33,1.26
en-GB,1.0,1.0,1.42,1.21,1.35,1.35,1.26,1.26,1.16,1.14,0.95,1.53,1.3,0.33,0.33,1.4,1.12,1.09,1.05,1.23,1.37,1.19,1.07,1.02,1.16,1.14,1.12,1.16,1.44,1.28,1.12,1.21,1.72,0.65,1.07,1.33,1.26
de,0.7,0.7,1.0,0.85,0.95,0.95,0.89,0.89,0.82,0.8,0.67,1.08,0.92,0.23,0.23,0.98,0.79,0.77,0.74,0.87,0.97,0.84,0.75,0.72,0.82,0.8,0.79,0.82,1.02,0.9,0.79,0.85,1.21,0.46,0.75,0.93,0.89
fr,0.83,0.83,1.17,1.0,1.12,1.12,1.04,1.04,0.96,0.94,0.79,1.27,1.08,0.27,0.27,1.15,0.92,0.9,0.87,1.02,1.13,0.98,0.88,0.85,0.96,0.94,0.92,0.96,1.19,1.06,0.92,1.0,1.42,0.54,0.88,1.1,1.04
es-ES,0.74,0.74,1.05,0.9,1.0,1.0,0.93,0.93,0.86,0.84,0.71,1.14,0.97,0.24,0.24,1.03,0.83,0.81,0.78,0.91,1.02,0.88,0.79,0.76,0.86,0.84,0.83,0.86,1.07,0.95,0.83,0.9,1.28,0.48,0.79,0.98,0.93
es-LA,0.74,0.74,1.05,0.9,1.0,1.0,0.93,0.93,0.86,0.84,0.71,1.14,0.97,0.24,0.24,1.03,0.83,0.81,0.78,0.91,1.02,0.88,0.79,0.76,0.86,0.84,0.83,0.86,1.07,0.95,0.83,0.9,1.28,0.48,0.79,0.98,0.93
pt-PT,0.8,0.8,1.13,0.96,1.07,1.07,1.0,1.0,0.93,0.91,0.76,1.22,1.04,0.26,0.26,1.11,0.89,0.87,0.83,0.98,1.09,0.94,0.85,0.81,0.93,0.91,0.89,0.93,1.15,1.02,0.89,0.96,1.37,0.52,0.85,1.06,1.0
pt-BR,0.8,0.8,1.13,0.96,1.07,1.07,1.0,1.0,0.93,0.91,0.76,1.22,1.04,0.26,0.26,1.11,0.89,0.87,0.83,0.98,1.09,0.94,0.85,0.81,0.93,0.91,0.89,0.93,1.15,1.02,0.89,0.96,1.37,0.52,0.85,1.06,1.0
it,0.86,0.86,1.22,1.04,1.16,1.16,1.08,1.08,1.0,0.98,0.82,1.32,1.12,0.28,0.28,1.2,0.96,0.94,0.9,1.06,1.18,1.02,0.92,0.88,1.0,0.98,0.96,1.0,1.24,1.1,0.96,1.04,1.48,0.56,0.92,1.14,1.08
nl,0.88,0.88,1.24,1.06,1.18,1.18,1.1,1.1,1.02,1.0,0.84,1.35,1.14,0.29,0.29,1.22,0.98,0.96,0.92,1.08,1.2,1.04,0.94,0.9,1.02,1.0,0.98,1.02,1.27,1.12,0.98,1.06,1.51,0.57,0.94,1.16,1.1
pl,1.05,1.05,1.49,1.27,1.41,1.41,1.32,1.32,1.22,1.2,1.0,1.61,1.37,0.34,0.34,1.46,1.17,1.15,1.1,1.29,1.44,1.24,1.12,1.07,1.22,1.2,1.17,1.22,1.51,1.34,1.17,1.27,1.8,0.68,1.12,1.39,1.32
ru,0.65,0.65,0.92,0.79,0.88,0.88,0.82,0.82,0.76,0.74,0.62,1.0,0.85,0.21,0.21,0.91,0.73,0.71,0.68,0.8,0.89,0.77,0.7,0.67,0.76,0.74,0.73,0.76,0.94,0.83,0.73,0.79,1.12,0.42,0.7,0.86,0.82
ja,0.77,0.77,1.09,0.93,1.04,1.04,0.96,0.96,0.89,0.88,0.73,1.18,1.0,0.25,0.25,1.07,0.86,0.84,0.8,0.95,1.05,0.91,0.82,0.79,0.89,0.88,0.86,0.89,1.11,0.98,0.86,0.93,1.32,0.5,0.82,1.02,0.96
zh-CN,3.07,3.07,4.36,3.71,4.14,4.14,3.86,3.86,3.57,3.5,2.93,4.71,4.0,1.0,1.0,4.29,3.43,3.36,3.21,3.79,4.21,3.64,3.29,3.14,3.57,3.5,3.43,3.57,4.43,3.93,3.43,3.71,5.29,2.0,3.29,4.07,3.86
zh-TW,3.07,3.07,4.36,3.71,4.14,4.14,3.86,3.86,3.57,3.5,2.93,4.71,4.0,1.0,1.0,4.29,3.43,3.36,3.21,3.79,4.21,3.64,3.29,3.14,3.57,3.5,3.43,3.57,4.43,3.93,3.43,3.71,5.29,2.0,3.29,4.07,3.86
bg,0.72,0.72,1.02,0.87,0.97,0.97,0.9,0.9,0.83,0.82,0.68,1.1,0.93,0.23,0.23,1.0,0.8,0.78,0.75,0.88,0.98,0.85,0.77,0.73,0.83,0.82,0.8,0.83,1.03,0.92,0.8,0.87,1.23,0.47,0.77,0.95,0.9
cs,0.9,0.9,1.27,1.08,1.21,1.21,1.12,1.12,1.04,1.02,0.85,1.38,1.17,0.29,0.29,1.25,1.0,0.98,0.94,1.1,1.23,1.06,0.96,0.92,1.04,1.02,1.0,1.04,1.29,1.15,1.0,1.08,1.54,0.58,0.96,1.19,1.12
da,0.91,0.91,1.3,1.11,1.23,1.23,1.15,1.15,1.06,1.04,0.87,1.4,1.19,0.3,0.3,1.28,1.02,1.0,0.96,1.13,1.26,1.09,0.98,0.94,1.06,1.04,1.02,1.06,1.32,1.17,1.02,1.11,1.57,0.6,0.98,1.21,1.15
et,0.96,0.96,1.36,1.16,1.29,1.29,1.2,1.2,1.11,1.09,0.91,1.47,1.24,0.31,0.31,1.33,1.07,1.04,1.0,1.18,1.31,1.13,1.02,0.98,1.11,1.09,1.07,1.11,1.38,1.22,1.07,1.16,1.64,0.62,1.02,1.27,1.2
fi,0.81,0.81,1.15,0.98,1.09,1.09,1.02,1.02,0.94,0.92,0.77,1.25,1.06,0.26,0.26,1.13,0.91,0.89,0.85,1.0,1.11,0.96,0.87,0.83,0.94,0.92,0.91,0.94,1.17,1.04,0.91,0.98,1.4,0.53,0.87,1.08,1.02
el,0.73,0.73,1.03,0.88,0.98,0.98,0.92,0.92,0.85,0.83,0.69,1.12,0.95,0.24,0.24,1.02,0.81,0.8,0.76,0.9,1.0,0.86,0.78,0.75,0.85,0.83,0.81,0.85,1.05,0.93,0.81,0.88,1.25,0.47,0.78,0.97,0.92
